         127.38100          42.25760
         129.59000          44.62000
           0.00000           0.45134           0.45134
           1.00000          -0.72604           0.28339
           2.00000          -1.39843          -0.25973
           3.00000          -0.48528          -0.03293
           4.00000           0.82779           0.08554
           5.00000           1.89813          -0.33433
           6.00000           2.09233          -0.33565
           7.00000           0.53007           0.15005
           8.00000          -0.98408          -0.36766
           9.00000          -0.88094          -1.03769
          10.00000          -0.11867          -0.14737
          11.00000           0.26837           0.99526
          12.00000           0.16929           0.95407
          13.00000          -0.03114           0.32611
          14.00000          -0.29521          -0.23355
          15.00000          -0.59965          -0.10100
          16.00000          -0.83338           0.28681
          17.00000          -0.74591          -0.13199
          18.00000          -0.55411           0.08468
          19.00000          -0.20543           0.83283
          20.00000           0.79870           0.89430
          21.00000           0.79616           0.61699
          22.00000          -0.92696          -0.31485
          23.00000          -2.09960          -0.73118
          24.00000          -1.10252          -0.39355
          25.00000           1.20974          -0.59828
          26.00000           2.27882          -0.58125
          27.00000           1.61335          -0.75690
          28.00000           0.48990          -1.51977
          29.00000          -0.51873          -1.04274
          30.00000          -0.44096           0.25551
          31.00000           0.39602           0.63868
          32.00000           0.76722           0.91572
          33.00000           0.11714           1.25894
          34.00000          -1.01190           0.87518
          35.00000          -0.61843           0.50669
          36.00000           0.21945          -0.28538
          37.00000           0.24819          -0.98066
          38.00000           0.16527          -0.04384
          39.00000          -1.08725           0.65400
          40.00000          -1.79403          -0.04434
          41.00000          -0.51153          -0.50008
          42.00000           0.63078          -0.15563
          43.00000           0.84159           0.35195
          44.00000           0.55788           0.86215
          45.00000           0.35674           0.50722
          46.00000           0.17746          -0.59249
          47.00000           0.30468          -0.32368
          48.00000           0.81379          -0.10803
          49.00000           0.69904          -0.84846
          50.00000           0.27120          -0.19135
          51.00000           0.02463           0.51740
          52.00000          -0.12526           0.50341
          53.00000          -0.05616           0.20964
          54.00000           0.19394          -0.33725
          55.00000           0.03471           0.30185
          56.00000          -0.37433           0.33257
          57.00000          -0.01665          -0.60032
          58.00000           0.26182          -0.67125
          59.00000           0.26517          -0.43844
          60.00000           0.25453           0.16264
          61.00000          -0.70679           0.43331
          62.00000          -1.49632          -0.17787
          63.00000          -1.32499           0.31959
          64.00000          -0.86051           0.82485
          65.00000          -0.63145          -0.62576
          66.00000          -0.46468          -0.88080
          67.00000          -0.07434          -0.04736
          68.00000          -0.11798          -0.45215
          69.00000           0.14728          -0.32177
          70.00000           0.63616          -0.24646
          71.00000           0.46264          -0.57876
          72.00000           0.42317          -0.17156
          73.00000           0.59157           0.08004
          74.00000           0.69011           0.74447
          75.00000           0.48833           1.29091
          76.00000           0.47372           0.54592
          77.00000           1.08437           0.31617
          78.00000           0.96658           0.54056
          79.00000          -0.06692          -0.26234
          80.00000          -1.10851          -1.18135
          81.00000          -1.26954          -1.24295
          82.00000          -0.33307          -0.20559
          83.00000           0.22158           0.70617
          84.00000           0.03228           0.99763
          85.00000          -0.37548           2.17659
          86.00000          -0.54711           2.19018
          87.00000           0.09036           0.40668
          88.00000           0.23894          -0.41434
          89.00000          -0.62775          -1.02536
          90.00000          -0.35591          -2.34251
          91.00000           1.22759          -2.63653
          92.00000           1.87005          -0.64860
          93.00000           1.64795           1.69426
          94.00000           1.90790           2.68223
          95.00000           1.29067           3.30476
          96.00000          -1.00874           2.82501
          97.00000          -2.58183           0.56732
          98.00000          -2.42295          -2.70729
          99.00000          -1.67081          -5.26051
         100.00000          -0.92870          -5.28788
         101.00000          -0.99410          -4.73152
         102.00000          -2.10658          -3.69689
         103.00000          -2.52870          -0.31749
         104.00000          -1.25778           3.08023
         105.00000           1.17136           4.91626
         106.00000           3.82651           5.69763
         107.00000           4.47418           4.78499
         108.00000           2.73081           1.64238
